"Weight rule is missing","Weight rule is missing"
"Pricing rule not found","Pricing rule not found"
"Add pricing rule","Add pricing rule"
"Price rule for specified country already exists","Price rule for specified country and method already exists"
"Saved","Saved"
"Pricing rule","Pricing rule"
"Pricing rule detail","Pricing rule detail"
"Pricing rules","Pricing rules"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Detail","Detail"
"Price","Price"
"Free shipment threshold","Free shipment threshold"
"Country","Country"
"General","General"
"Any country?","Any country?"
"Apply pricing settings to any destination country","Apply pricing settings to any destination country"
"Packeta","Packeta"
"Export","Export"
"Order number","Order number"
"Full name","Full name"
"Recipient company","Recipient company"
"Recipient Email","Recipient Email"
"Recipient phone number","Recipient phone number"
"Recipient address","Recipient address"
"Cash on delivery","Cash on delivery"
"Currency","Currency"
"Total price","Total price"
"Pickup point address","Pickup point address"
"Exported","Exported"
"Export date","Export date"
"CSV - only not exported","CSV - only not exported"
"CSV - selected only","CSV - selected only"
"CSV - all records","CSV - all records"
"Order status","Order status"
"Yes","Yes"
"No","No"
"Orders","Orders"
"Add","Add"
"Weight to (includes)","Weight to (includes)"
"Price","Price"
"Add rule","Add rule"
"No orders to export.","No orders to export."
"Error! No export data found.","Error! No export data found."
"Orders","Orders"
"There was an error during request.","There was an error during request."
"API key","API key"
"Price rules","Price rules"
"Global settings","Global settings"
"Default price","Default price"
"Max. weight","Max. weight"
"Free shipping","Free shipping"
"Payment methods","Payment methods"
"The payment methods selected above will be considered as cash on delivery (for Packeta).","The payment methods selected above will be considered as cash on delivery (for Packeta)."
"Some prices are not filled","Some prices are not filled"
"The weight is invalid","The weight is invalid. Enter unique weight values and weight must not be greater than max weight (%1)."
"The API key length must have %d characters!","The API key length must have %d characters!"
"Select pick-up point","Select pick-up point"
"You must select pick-up point","You must select pick-up point"
"Method Name","Method Name"
"Purchase Date","Purchase Date"
"Title","Title"
"Sort Order","Sort Order"
"Version","Version"
"Action","Action"
"Actions","Actions"
"Search","Search"
"Reset Filter","Reset Filter"
"records found","records found"
"per page", "per page"
"Export to:","Export to:"
"Any","Any"
"selected","selected"
"Submit","Submit"
"Select All","Select All"
"Unselect All","Unselect All"
"Select Visible", "Select Visible"
"Unselect Visible", "Unselect Visible"
"Mass Actions","Mass Actions"
"of %1","of %1"
"From","From"
"To","To"
"Delivery Method","Delivery Method"
"Pickup Point Delivery","Pickup Point Delivery"
"Best Address Delivery","Home Delivery"
"Address Delivery","Home Delivery"
"Methods are only available in predefined countries","Methods are only available in predefined countries"
"Allowed Methods","Allowed Methods"
"Enabled","Enabled"
"Disabled","Disabled"
"Pricing rule status","Pricing rule status"
"Select option","Select option"
"Choose Pickup Point","Choose Pickup Point"
"Edit","Edit"
"Available Countries","Available Countries"
"Available","Available"
"Unavailable","Unavailable"
"Country Code","Country Code"
"Use carrier?","Use carrier?"
"Carrier name","Carrier name"
"Packeta Carriers","Packeta Carriers"
"Weight","Weight"
"Order detail","Order detail"
