"Packeta","Przesylkownia"
"Export","Export"
"Order number","Order number"
"Full name","Full name"
"Recipient company","Recipient company"
"Recipient Email","Recipient Email"
"Recipient phone number","Recipient phone number"
"Recipient address","Recipient address"
"Cash on delivery","Cash on delivery"
"Currency","Currency"
"Total price","Total price"
"Pickup point address","Pickup point address"
"Exported","Exported"
"Export date","Export date"
"CSV - only not exported","CSV - only not exported"
"CSV - all records","CSV - all records"
"Order status","Order status"
"Yes","Yes"
"No","No"
"Orders","Orders"
"Add","Add"
"Weight from","Weight from"
"Weight to (includes)","Weight to (includes)"
"Price","Price"
"Add rule","Add rule"
"No orders to export.","No orders to export."
"Error! No export data found.","Error! No export data found."
"Packeta - orders","Przesylkownia - orders"
"There was an error during request.","There was an error during request."
"Widget settings","Widget settings"
"API key","API key"
"Price rules","Price rules"
"Global settings","Global settings"
"Default price","Default price"
"Max. weight","Max. weight"
"Free shipping","Free shipping"
"Rules - other countries","Rules - other countries"
"Rules CZ","Rules CZ"
"Rules SK","Rules SK"
"Rules PL","Rules PL"
"Rules HU","Rules HU"
"Rules RO","Rules RO"
"Payment methods","Payment methods"
"The payment methods selected above will be considered as cash on delivery (for Packeta).","The payment methods selected above will be considered as cash on delivery (for Przesylkownia)."
"Weight from must be less than Weight to (includes)","Weight from must be less than Weight to (includes)"
"The weight intervals must not overlap:","The weight intervals must not overlap:"
"Some prices are not filled","Some prices are not filled"
"The weight interval exceeds the global maximum weight:","The weight interval exceeds the global maximum weight:"
"The API key length must have %d characters!","The API key length must have %d characters!"
"The specified API key is not valid!","The specified API key is not valid!"
"Select pick-up point","Select pick-up point"
"Method Name","Method Name"
"Purchase Date","Purchase Date"
"Title","Title"
"Enabled","Enabled"
"Sort Order","Sort Order"
"Version","Version"
"Action","Action"
"Actions","Actions"
"Search","Search"
"Reset Filter","Reset Filter"
"records found","records found"
"per page", "per page"
"Export to:","Export to:"
"Any","Any"
"selected","selected"
"Submit","Submit"
"Select All","Select All"
"Unselect All","Unselect All"
"Select Visible", "Select Visible"
"Unselect Visible", "Unselect Visible"
"Mass Actions","Mass Actions"
"of %1","of %1"
"From","From"
"To","To"
